rmse,mae,r2,bootstrap_id
0.5943953104828186,0.5727272727272726,-0.19008264462809898,0
0.7758226771925906,0.7166666666666653,-0.19008264462809898,1
0.508684903037737,0.48181818181818153,-0.1900826446280992,2
0.7923184934363957,0.709090909090908,-0.19008264462809898,3
0.4204484029035342,0.3409090909090911,-0.19008264462809965,4
0.6335000505521567,0.5393939393939386,-0.19008264462809898,5
0.569398696901439,0.4818181818181813,-0.1900826446280992,6
0.5999311255235046,0.5030303030303019,-0.19008264462809898,7
0.6162402665484474,0.48636363636363594,-0.1900826446280992,8
0.47785678548914196,0.43181818181818127,-0.1900826446280992,9
0.4670993664969136,0.41818181818181815,-0.19008264462809898,10
0.4840428913445134,0.4363636363636356,-0.1900826446280992,11
0.6729729281207893,0.5696969696969688,-0.1900826446280992,12
0.7432339431261695,0.6636363636363628,-0.19008264462809876,13
0.5849348342598321,0.5545454545454535,-0.1900826446280992,14
0.6627640593356773,0.6106060606060589,-0.1900826446280992,15
0.4966000103180962,0.45454545454545414,-0.19008264462809943,16
0.6350636071481072,0.5515151515151507,-0.19008264462809898,17
0.5496805984665794,0.43636363636363534,-0.19008264462809898,18
0.631147453007627,0.48181818181818103,-0.19008264462809876,19
0.43712055564259333,0.38787878787878816,-0.1900826446280992,20
0.4860874321925395,0.386363636363636,-0.1900826446280992,21
0.5271943515417435,0.4454545454545448,-0.1900826446280992,22
0.4235817366262448,0.3984848484848483,-0.19008264462809876,23
0.7195039613603391,0.5818181818181802,-0.19008264462809898,24
0.4351308343190657,0.33484848484848456,-0.19008264462809898,25
0.6663084437021332,0.5787878787878782,-0.1900826446280992,26
0.5763951812417215,0.4999999999999998,-0.19008264462809898,27
0.3839765833080518,0.30909090909090875,-0.19008264462809898,28
0.66481837450117,0.5818181818181806,-0.19008264462809876,29
0.6032967281104373,0.5363636363636354,-0.19008264462809898,30
0.5238131014868334,0.4787878787878785,-0.19008264462809943,31
0.3002753557257044,0.20909090909090897,-0.19008264462809943,32
0.51650446223061,0.4545454545454541,-0.1900826446280992,33
0.49991734854063646,0.436363636363636,-0.19008264462809898,34
0.6378553943741709,0.5727272727272715,-0.19008264462809898,35
0.5253098259343146,0.4863636363636359,-0.19008264462809898,36
0.5278210315270817,0.4606060606060595,-0.19008264462809898,37
0.6211160310014072,0.5090909090909087,-0.19008264462809943,38
0.5674358739755343,0.4909090909090898,-0.19008264462809943,39
0.3919647479510927,0.3712121212121213,-0.1900826446280992,40
0.645134363607641,0.5090909090909077,-0.19008264462809898,41
0.6759138289251295,0.5939393939393925,-0.19008264462809898,42
0.7127527824748336,0.6272727272727262,-0.1900826446280992,43
0.6499841066079799,0.5454545454545449,-0.1900826446280992,44
0.6211160310014073,0.5363636363636362,-0.1900826446280992,45
0.2721205372199236,0.18181818181818296,-0.19008264462809965,46
0.9081813631812472,0.8181818181818166,-0.19008264462809943,47
0.7427333926530986,0.654545454545454,-0.19008264462809898,48
0.7947659357081058,0.718181818181817,-0.19008264462809898,49
0.7766744108671696,0.6954545454545439,-0.1900826446280992,50
0.6843589025051218,0.6090909090909081,-0.19008264462809898,51
0.6414729949933847,0.5151515151515141,-0.1900826446280992,52
0.5648081660730562,0.5272727272727266,-0.19008264462809898,53
0.5606224403831479,0.516666666666666,-0.19008264462809943,54
0.5438613094962184,0.47272727272727244,-0.19008264462809898,55
0.5480996470902858,0.5106060606060606,-0.1900826446280992,56
0.49618378359982396,0.3954545454545448,-0.19008264462809943,57
0.5215203457913974,0.45454545454545364,-0.19008264462809943,58
0.6731571108350317,0.5909090909090902,-0.1900826446280992,59
0.7025337849586046,0.6363636363636357,-0.19008264462809898,60
0.5346660346375496,0.4909090909090912,-0.1900826446280992,61
0.5972388256602479,0.5090909090909087,-0.19008264462809898,62
0.47854807957279366,0.3439393939393928,-0.1900826446280992,63
0.7254522670276347,0.5999999999999986,-0.19008264462809943,64
0.666308443702133,0.5787878787878779,-0.19008264462809898,65
0.5259387514225713,0.4651515151515145,-0.19008264462809943,66
0.5309433363799569,0.47272727272727194,-0.1900826446280992,67
0.7011207085330479,0.654545454545454,-0.1900826446280992,68
0.48446954888997124,0.4060606060606058,-0.19008264462809898,69
0.5508820875470214,0.49090909090909024,-0.19008264462809898,70
0.4909090909090902,0.4454545454545451,-0.1900826446280992,71
0.7445115987418555,0.6454545454545436,-0.1900826446280992,72
0.46167141547616736,0.39393939393939337,-0.19008264462809898,73
0.4294913385824622,0.3454545454545454,-0.19008264462809898,74
0.7498209152582201,0.648484848484847,-0.19008264462809943,75
0.677379491279895,0.5999999999999988,-0.19008264462809943,76
0.5532772383528333,0.4727272727272723,-0.1900826446280992,77
0.6558068653407783,0.5636363636363634,-0.19008264462809898,78
0.4142103909052551,0.3181818181818183,-0.19008264462809898,79
0.6414729949933852,0.4863636363636356,-0.19008264462809943,80
0.5221538356645223,0.48030303030303,-0.19008264462809943,81
0.6314092856067387,0.5818181818181811,-0.1900826446280992,82
0.6622650838767749,0.6045454545454528,-0.1900826446280992,83
0.7726737949409357,0.6909090909090895,-0.1900826446280992,84
0.6612660034152107,0.5469696969696962,-0.19008264462809943,85
0.6868300642736022,0.5787878787878776,-0.1900826446280992,86
0.6711898895011706,0.5818181818181811,-0.19008264462809943,87
0.5535012523595906,0.5166666666666656,-0.1900826446280992,88
0.5532772383528334,0.5030303030303025,-0.19008264462809943,89
0.6394083008583874,0.5590909090909082,-0.1900826446280992,90
0.6347381838076779,0.5272727272727266,-0.1900826446280992,91
0.4201534548469575,0.3454545454545452,-0.1900826446280992,92
0.49859306184734814,0.4424242424242421,-0.1900826446280992,93
0.42133200822750794,0.38181818181818183,-0.1900826446280992,94
0.745842471126132,0.6636363636363628,-0.1900826446280992,95
0.5786847441032553,0.5424242424242417,-0.1900826446280992,96
0.571137765436184,0.4969696969696967,-0.19008264462809898,97
0.6389557596656565,0.5484848484848481,-0.19008264462809898,98
0.7132743725793811,0.6181818181818168,-0.19008264462809876,99
